,backend,qubit mapping,initial state,optimizer,variational form,absolute error
0,statevector,parity,HF,COBYLA,UCCSD,3.072042220453319e-05
1,statevector,parity,HF,COBYLA,RY,0.0157134358348765
2,statevector,parity,HF,COBYLA,RYRZ,0.14020320484680504
3,statevector,parity,HF,COBYLA,SwapRZ,0.522268457577552
4,statevector,parity,HF,L_BFGS_B,UCCSD,2.733302473245658e-11
5,statevector,parity,HF,L_BFGS_B,RY,0.3139236843935316
6,statevector,parity,HF,L_BFGS_B,RYRZ,0.09765926792516932
7,statevector,parity,HF,L_BFGS_B,SwapRZ,0.522268457577554
8,statevector,parity,HF,SLSQP,UCCSD,1.6421915827180555e-08
9,statevector,parity,HF,SLSQP,RY,8.218520547065289e-05
10,statevector,parity,HF,SLSQP,RYRZ,0.01636009630695301
11,statevector,parity,HF,SLSQP,SwapRZ,0.5222684575775531
12,statevector,parity,HF,SPSA,UCCSD,0.1273435704698549
13,statevector,parity,HF,SPSA,RY,0.012097540624877334
14,statevector,parity,HF,SPSA,RYRZ,0.09732801278006287
15,statevector,parity,HF,SPSA,SwapRZ,
16,statevector,parity,Zero,COBYLA,UCCSD,0.13021981543903416
17,statevector,parity,Zero,COBYLA,RY,0.1355895691771516
18,statevector,parity,Zero,COBYLA,RYRZ,0.08178938178056172
19,statevector,parity,Zero,COBYLA,SwapRZ,0.5222684575775514
20,statevector,parity,Zero,L_BFGS_B,UCCSD,0.0027045022018710174
21,statevector,parity,Zero,L_BFGS_B,RY,0.18947175704963204
22,statevector,parity,Zero,L_BFGS_B,RYRZ,0.39466491560600336
23,statevector,parity,Zero,L_BFGS_B,SwapRZ,0.5222684575775554
24,statevector,parity,Zero,SLSQP,UCCSD,0.002642235930013115
25,statevector,parity,Zero,SLSQP,RY,4.507765820482845e-05
26,statevector,parity,Zero,SLSQP,RYRZ,2.6883147114631356e-05
27,statevector,parity,Zero,SLSQP,SwapRZ,0.5222684575775522
28,statevector,parity,Zero,SPSA,UCCSD,0.002748988321243484
29,statevector,parity,Zero,SPSA,RY,0.033188423440101866
30,statevector,parity,Zero,SPSA,RYRZ,0.13858214651498446
31,statevector,parity,Zero,SPSA,SwapRZ,
32,statevector,bravyi_kitaev,HF,COBYLA,UCCSD,3.072042220497728e-05
33,statevector,bravyi_kitaev,HF,COBYLA,RY,0.05239492975019466
34,statevector,bravyi_kitaev,HF,COBYLA,RYRZ,0.22633611375877505
35,statevector,bravyi_kitaev,HF,COBYLA,SwapRZ,1.0770597457346924
36,statevector,bravyi_kitaev,HF,L_BFGS_B,UCCSD,3.125211200938338e-11
37,statevector,bravyi_kitaev,HF,L_BFGS_B,RY,0.5043640346617936
38,statevector,bravyi_kitaev,HF,L_BFGS_B,RYRZ,0.6841383913819633
39,statevector,bravyi_kitaev,HF,L_BFGS_B,SwapRZ,1.0770597457346953
40,statevector,bravyi_kitaev,HF,SLSQP,UCCSD,1.6421919823983444e-08
41,statevector,bravyi_kitaev,HF,SLSQP,RY,0.09641217790773482
42,statevector,bravyi_kitaev,HF,SLSQP,RYRZ,0.003763161436446394
43,statevector,bravyi_kitaev,HF,SLSQP,SwapRZ,1.0770597457346973
44,statevector,bravyi_kitaev,HF,SPSA,UCCSD,0.12860352055406354
45,statevector,bravyi_kitaev,HF,SPSA,RY,0.14418892464127708
46,statevector,bravyi_kitaev,HF,SPSA,RYRZ,0.23439706117979597
47,statevector,bravyi_kitaev,HF,SPSA,SwapRZ,
48,statevector,bravyi_kitaev,Zero,COBYLA,UCCSD,1.077059745734699
49,statevector,bravyi_kitaev,Zero,COBYLA,RY,0.12343783857623536
50,statevector,bravyi_kitaev,Zero,COBYLA,RYRZ,0.27210684366682736
51,statevector,bravyi_kitaev,Zero,COBYLA,SwapRZ,1.077059745734696
52,statevector,bravyi_kitaev,Zero,L_BFGS_B,UCCSD,1.0770597457346909
53,statevector,bravyi_kitaev,Zero,L_BFGS_B,RY,0.21350934601932026
54,statevector,bravyi_kitaev,Zero,L_BFGS_B,RYRZ,0.6660426273660169
